Dates;Canada;USA;France;Germany;UK;Australia;Hong Kong;Japan;Belgium;Switzerland;Poland;Russia;South Africa;China;India;South Korea;Greece;Brazil;Hungary;Czech Republic
01.01.1980;;;;;;;;;;;;;;;;;;;;
02.01.1980;;;;;16,75;;;;;;;;;;;;;;;
03.01.1980;;;;;16,72;;;;;;;;;;;;;;;
04.01.1980;;;;;16,63;;;;;;;;;;;;;;;
07.01.1980;;;;;16,56;;;;;;;;;;;;;;;
08.01.1980;;;;;16,44;;;;;;;;;;;;;;;
09.01.1980;;;;;16,53;;;;;;;;;;;;;;;
10.01.1980;;;;;16,44;;;;;;;;;;;;;;;
11.01.1980;;;;;16,53;;;;;;;;;;;;;;;
14.01.1980;;;;;16,59;;;;;;;;;;;;;;;
15.01.1980;;;;;16,69;;;;;;;;;;;;;;;
16.01.1980;;;;;16,88;;;;;;;;;;;;;;;
17.01.1980;;;;;16,59;;;;;;;;;;;;;;;
18.01.1980;;;;;16,44;;;;;;;;;;;;;;;
21.01.1980;;;;;16,81;;;;;;;;;;;;;;;
22.01.1980;;;;;16,75;;;;;;;;;;;;;;;
23.01.1980;;;;;16,58;;;;;;;;;;;;;;;
24.01.1980;;;;;16,63;;;;;;;;;;;;;;;
25.01.1980;;;;;16,69;;;;;;;;;;;;;;;
28.01.1980;;;;;16,72;;;;;;;;;;;;;;;
29.01.1980;;;;;16,75;;;;;;;;;;;;;;;
30.01.1980;;;;;17,56;;;;;;;;;;;;;;;
31.01.1980;;;;;17,06;;;;;;;;;;;;;;;
01.02.1980;;;;;17,25;;;;;;;;;;;;;;;
04.02.1980;;;;;17,47;;;;;;;;;;;;;;;
05.02.1980;;;;;17,44;;;;;;;;;;;;;;;
06.02.1980;;;;;17,31;;;;;;;;;;;;;;;
07.02.1980;;;;;17,13;;;;;;;;;;;;;;;
08.02.1980;;;;;17,25;;;;;;;;;;;;;;;
11.02.1980;;;;;17,39;;;;;;;;;;;;;;;
12.02.1980;;;;;17,41;;;;;;;;;;;;;;;
13.02.1980;;;;;17,13;;;;;;;;;;;;;;;
14.02.1980;;;;;17,38;;;;;;;;;;;;;;;
15.02.1980;;;;;17,31;;;;;;;;;;;;;;;
18.02.1980;;;;;17,75;;;;;;;;;;;;;;;
19.02.1980;;;;;17,5;;;;;;;;;;;;;;;
20.02.1980;;;;;17,5;;;;;;;;;;;;;;;
21.02.1980;;;;;17,44;;;;;;;;;;;;;;;
22.02.1980;;;;;17,44;;;;;;;;;;;;;;;
25.02.1980;;;;;17,44;;;;;;;;;;;;;;;
26.02.1980;;;;;17,44;;;;;;;;;;;;;;;
27.02.1980;;;;;17,38;;;;;;;;;;;;;;;
28.02.1980;;;;;17,44;;;;;;;;;;;;;;;
29.02.1980;;;;;17,59;;;;;;;;;;;;;;;
03.03.1980;;;;;17,69;;;;;;;;;;;;;;;
04.03.1980;;;;;17,91;;;;;;;;;;;;;;;
05.03.1980;;;;;17,63;;;;;;;;;;;;;;;
06.03.1980;;;;;17,5;;;;;;;;;;;;;;;
07.03.1980;;;;;17,5;;;;;;;;;;;;;;;
10.03.1980;;;;;17,69;;;;;;;;;;;;;;;
11.03.1980;;;;;17,56;;;;;;;;;;;;;;;
12.03.1980;;;;;17,56;;;;;;;;;;;;;;;
13.03.1980;;;;;17,5;;;;;;;;;;;;;;;
14.03.1980;;;;;17,63;;;;;;;;;;;;;;;
17.03.1980;;;;;17,81;;;;;;;;;;;;;;;
18.03.1980;;;;;17,59;;;;;;;;;;;;;;;
19.03.1980;;;;;17,59;;;;;;;;;;;;;;;
20.03.1980;;;;;17,63;;;;;;;;;;;;;;;
21.03.1980;;;;;17,5;;;;;;;;;;;;;;;
24.03.1980;;;;;17,5;;;;;;;;;;;;;;;
25.03.1980;;;;;17,38;;;;;;;;;;;;;;;
26.03.1980;;;;;17,38;;;;;;;;;;;;;;;
27.03.1980;;;;;17,39;;;;;;;;;;;;;;;
28.03.1980;;;;;17,41;;;;;;;;;;;;;;;
31.03.1980;;;;;17,7;;;;;;;;;;;;;;;
01.04.1980;;;;;17,81;;;;;;;;;;;;;;;
02.04.1980;;;;;17,78;;;;;;;;;;;;;;;
03.04.1980;;;;;17,78;;;;;;;;;;;;;;;
04.04.1980;;;;;17,78;;;;;;;;;;;;;;;
07.04.1980;;;;;17,78;;;;;;;;;;;;;;;
08.04.1980;;;;;17,78;;;;;;;;;;;;;;;
09.04.1980;;;;;17,56;;;;;;;;;;;;;;;
10.04.1980;;;;;17,34;;;;;;;;;;;;;;;
11.04.1980;;;;;17,03;;;;;;;;;;;;;;;
14.04.1980;;;;;17,03;;;;;;;;;;;;;;;
15.04.1980;;;;;16,97;;;;;;;;;;;;;;;
16.04.1980;;;;;16,88;;;;;;;;;;;;;;;
17.04.1980;;;;;16,77;;;;;;;;;;;;;;;
18.04.1980;;;;;17;;;;;;;;;;;;;;;
21.04.1980;;;;;16,8;;;;;;;;;;;;;;;
22.04.1980;;;;;16,75;;;;;;;;;;;;;;;
23.04.1980;;;;;16,66;;;;;;;;;;;;;;;
24.04.1980;;;;;16,88;;;;;;;;;;;;;;;
25.04.1980;;;;;16,81;;;;;;;;;;;;;;;
28.04.1980;;;;;16,81;;;;;;;;;;;;;;;
29.04.1980;;;;;16,67;;;;;;;;;;;;;;;
30.04.1980;;;;;16,5;;;;;;;;;;;;;;;
01.05.1980;;;;;16,39;;;;;;;;;;;;;;;
02.05.1980;;;;;16,56;;;;;;;;;;;;;;;
05.05.1980;;;;;16,56;;;;;;;;;;;;;;;
06.05.1980;;;;;16,56;;;;;;;;;;;;;;;
07.05.1980;;;;;16,56;;;;;;;;;;;;;;;
08.05.1980;;;;;16,42;;;;;;;;;;;;;;;
09.05.1980;;;;;16,63;;;;;;;;;;;;;;;
12.05.1980;;;;;16,7;;;;;;;;;;;;;;;
13.05.1980;;;;;16,7;;;;;;;;;;;;;;;
14.05.1980;;;;;16,75;;;;;;;;;;;;;;;
15.05.1980;;;;;16,75;;;;;;;;;;;;;;;
16.05.1980;;;;;16,78;;;;;;;;;;;;;;;
19.05.1980;;;;;16,78;;;;;;;;;;;;;;;
20.05.1980;;;;;16,48;;;;;;;;;;;;;;;
21.05.1980;;;;;16,5;;;;;;;;;;;;;;;
22.05.1980;;;;;16,5;;;;;;;;;;;;;;;
23.05.1980;;;;;16,5;;;;;;;;;;;;;;;
26.05.1980;;;;;16,5;;;;;;;;;;;;;;;
27.05.1980;;;;;16,5;;;;;;;;;;;;;;;
28.05.1980;;;;;16,69;;;;;;;;;;;;;;;
