Dates;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19
1980-01-01;;;;;;;;;;;;;;;;;;;;
1980-01-02;;;;;16,75;;;;;;;;;;;;;;;
1980-01-03;;;;;16,74046511627907;;;;;;;;;;;;;;;
1980-01-04;;;;;16,66348837209302;;;;;;;;;;;;;;;
1980-01-07;;;;;16,61302325581395;;;;;;;;;;;;;;;
1980-01-08;;;;;16,47953488372093;;;;;;;;;;;;;;;
1980-01-09;;;;;16,608139534883723;;;;;;;;;;;;;;;
1980-01-10;;;;;16,53604651162791;;;;;;;;;;;;;;;
1980-01-11;;;;;16,658372093023257;;;;;;;;;;;;;;;
1980-01-14;;;;;16,7553488372093;;;;;;;;;;;;;;;
1980-01-15;;;;;16,841162790697677;;;;;;;;;;;;;;;
1980-01-16;;;;;16,590930232558136;;;;;;;;;;;;;;;
1980-01-17;;;;;16,757441860465114;;;;;;;;;;;;;;;
1980-01-18;;;;;16,724186046511626;;;;;;;;;;;;;;;
1980-01-21;;;;;17,321162790697674;;;;;;;;;;;;;;;
1980-01-22;;;;;17,23139534883721;;;;;;;;;;;;;;;
1980-01-23;;;;;16,862790697674416;;;;;;;;;;;;;;;
1980-01-24;;;;;16,973953488372093;;;;;;;;;;;;;;;
1980-01-25;;;;;17,083488372093026;;;;;;;;;;;;;;;
1980-01-28;;;;;17,091162790697673;;;;;;;;;;;;;;;
1980-01-29;;;;;17,159302325581393;;;;;;;;;;;;;;;
1980-01-30;;;;;16,7053488372093;;;;;;;;;;;;;;;
1980-01-31;;;;;17,510232558139535;;;;;;;;;;;;;;;
1980-02-01;;;;;17,651162790697676;;;;;;;;;;;;;;;
1980-02-04;;;;;17,765813953488372;;;;;;;;;;;;;;;
1980-02-05;;;;;17,713255813953488;;;;;;;;;;;;;;;
1980-02-06;;;;;17,50348837209302;;;;;;;;;;;;;;;
1980-02-07;;;;;17,462790697674418;;;;;;;;;;;;;;;
1980-02-08;;;;;17,59511627906977;;;;;;;;;;;;;;;
1980-02-11;;;;;17,80139534883721;;;;;;;;;;;;;;;
1980-02-12;;;;;18,128604651162792;;;;;;;;;;;;;;;
1980-02-13;;;;;17,53372093023256;;;;;;;;;;;;;;;
1980-02-14;;;;;17,752093023255814;;;;;;;;;;;;;;;
1980-02-15;;;;;17,747441860465116;;;;;;;;;;;;;;;
1980-02-18;;;;;18,1453488372093;;;;;;;;;;;;;;;
1980-02-19;;;;;17,906976744186046;;;;;;;;;;;;;;;
1980-02-20;;;;;17,81813953488372;;;;;;;;;;;;;;;
1980-02-21;;;;;17,870232558139534;;;;;;;;;;;;;;;
1980-02-22;;;;;17,713953488372095;;;;;;;;;;;;;;;
1980-02-25;;;;;17,721162790697672;;;;;;;;;;;;;;;
1980-02-26;;;;;17,70046511627907;;;;;;;;;;;;;;;
1980-02-27;;;;;17,732790697674417;;;;;;;;;;;;;;;
1980-02-28;;;;;17,8306976744186;;;;;;;;;;;;;;;
1980-02-29;;;;;17,97;;;;;;;;;;;;;;;
1980-03-03;;;;;18,16;;;;;;;;;;;;;;;
1980-03-04;;;;;18,38;;;;;;;;;;;;;;;
1980-03-05;;;;;18,19;;;;;;;;;;;;;;;
1980-03-06;;;;;18,06;;;;;;;;;;;;;;;
1980-03-07;;;;;18,0;;;;;;;;;;;;;;;
1980-03-10;;;;;18,06;;;;;;;;;;;;;;;
1980-03-11;;;;;18,03;;;;;;;;;;;;;;;
1980-03-12;;;;;17,94;;;;;;;;;;;;;;;
1980-03-13;;;;;17,91;;;;;;;;;;;;;;;
1980-03-14;;;;;17,94;;;;;;;;;;;;;;;
1980-03-17;;;;;18,13;;;;;;;;;;;;;;;
1980-03-18;;;;;18,0;;;;;;;;;;;;;;;
1980-03-19;;;;;17,88;;;;;;;;;;;;;;;
1980-03-20;;;;;17,94;;;;;;;;;;;;;;;
1980-03-21;;;;;17,78;;;;;;;;;;;;;;;
1980-03-24;;;;;17,78;;;;;;;;;;;;;;;
1980-03-25;;;;;17,75;;;;;;;;;;;;;;;
1980-03-26;;;;;17,75;;;;;;;;;;;;;;;
1980-03-27;;;;;17,58;;;;;;;;;;;;;;;
1980-03-28;;;;;17,88;;;;;;;;;;;;;;;
1980-03-31;;;;;18,09;;;;;;;;;;;;;;;
1980-04-01;;;;;17,81;;;;;;;;;;;;;;;
1980-04-02;;;;;17,78511627906977;;;;;;;;;;;;;;;
1980-04-03;;;;;17,791627906976746;;;;;;;;;;;;;;;
1980-04-04;;;;;17,79744186046512;;;;;;;;;;;;;;;
1980-04-07;;;;;17,80325581395349;;;;;;;;;;;;;;;
1980-04-08;;;;;17,809069767441862;;;;;;;;;;;;;;;
1980-04-09;;;;;17,613023255813953;;;;;;;;;;;;;;;
1980-04-10;;;;;17,416511627906978;;;;;;;;;;;;;;;
1980-04-11;;;;;17,141627906976744;;;;;;;;;;;;;;;
1980-04-14;;;;;17,155581395348836;;;;;;;;;;;;;;;
1980-04-15;;;;;17,12348837209302;;;;;;;;;;;;;;;
1980-04-16;;;;;17,04627906976744;;;;;;;;;;;;;;;
1980-04-17;;;;;16,9206976744186;;;;;;;;;;;;;;;
1980-04-18;;;;;17,093720930232557;;;;;;;;;;;;;;;
1980-04-21;;;;;16,988837209302325;;;;;;;;;;;;;;;
1980-04-22;;;;;16,969767441860466;;;;;;;;;;;;;;;
1980-04-23;;;;;16,87953488372093;;;;;;;;;;;;;;;
1980-04-24;;;;;17,02627906976744;;;;;;;;;;;;;;;
1980-04-25;;;;;17,019302325581396;;;;;;;;;;;;;;;
1980-04-28;;;;;17,030930232558138;;;;;;;;;;;;;;;
1980-04-29;;;;;16,967674418604652;;;;;;;;;;;;;;;
1980-04-30;;;;;16,895581395348835;;;;;;;;;;;;;;;
1980-05-01;;;;;16,860697674418603;;;;;;;;;;;;;;;
1980-05-02;;;;;16,998604651162786;;;;;;;;;;;;;;;
1980-05-05;;;;;17,01767441860465;;;;;;;;;;;;;;;
1980-05-06;;;;;17,036744186046512;;;;;;;;;;;;;;;
1980-05-07;;;;;17,05581395348837;;;;;;;;;;;;;;;
1980-05-08;;;;;17,041627906976746;;;;;;;;;;;;;;;
1980-05-09;;;;;17,19651162790698;;;;;;;;;;;;;;;
1980-05-12;;;;;17,23953488372093;;;;;;;;;;;;;;;
1980-05-13;;;;;17,25813953488372;;;;;;;;;;;;;;;
1980-05-14;;;;;17,333953488372092;;;;;;;;;;;;;;;
1980-05-15;;;;;17,404883720930233;;;;;;;;;;;;;;;
1980-05-16;;;;;17,455348837209304;;;;;;;;;;;;;;;
1980-05-19;;;;;17,475813953488373;;;;;;;;;;;;;;;
1980-05-20;;;;;17,155581395348836;;;;;;;;;;;;;;;
1980-05-21;;;;;17,153023255813956;;;;;;;;;;;;;;;
1980-05-22;;;;;17,196976744186045;;;;;;;;;;;;;;;
1980-05-23;;;;;17,21581395348837;;;;;;;;;;;;;;;
1980-05-26;;;;;17,234651162790694;;;;;;;;;;;;;;;
1980-05-27;;;;;17,21627906976744;;;;;;;;;;;;;;;
1980-05-28;;;;;17,309767441860465;;;;;;;;;;;;;;;
1980-05-29;;;;;17,201860465116276;;;;;;;;;;;;;;;
1980-05-30;;;;;17,19;;;;;;;;;;;;;;;
1980-06-02;;;;;17,19;;;;;;;;;;;;;;;
1980-06-03;;;;;17,19;;;;;;;;;;;;;;;
1980-06-04;;;;;17,13;;;;;;;;;;;;;;;
1980-06-05;;;;;17,06;;;;;;;;;;;;;;;
