Dates;Canada;USA;France;Germany;UK;Australia;Hong Kong;Japan;Belgium;Switzerland;Poland;Russia;South Africa;China;India;South Korea;Greece;Brazil;Hungary;Czech Republic
01.01.1980;1813,17;107,94;;497,8;;;879,38;6569,47;;;;;;;;;;;;
02.01.1980;1806,08;105,76;;493,5;;;889,13;6569,47;;;;;;;;;;;;
03.01.1980;1789,39;105,22;;485,7;;;862,06;6569,47;;;;;;;;;;;;
04.01.1980;1795,2;106,52;;491,8;;;848,84;6560,16;;;;;;;;;;;;
07.01.1980;1814,12;106,81;;492,5;;;816,18;6552,65;;;;;;;;;;;;
08.01.1980;1832,62;108,95;;494,1;;;848,32;6563,28;;;;;;;;;;;;
09.01.1980;1853,98;109,05;;498;;;850,75;6591,83;;;;;;;;;;;;
10.01.1980;1884,06;109,89;;497,2;;;853,21;6594,01;;;;;;;;;;;;
11.01.1980;1898,72;109,92;;495,9;;;846,47;6615,51;;;;;;;;;;;;
14.01.1980;1922,2;110,38;;493;;;842,51;6659,55;;;;;;;;;;;;
15.01.1980;1944,5;111,14;;492,6;;;833,86;6659,55;;;;;;;;;;;;
16.01.1980;1946,83;111,05;;491,4;;;842,29;6653,26;;;;;;;;;;;;
17.01.1980;1968,13;110,7;;489,6;;;860,94;6656,3;;;;;;;;;;;;
18.01.1980;1966,71;111,07;;484,2;;;854,87;6649,3;;;;;;;;;;;;
21.01.1980;1973,19;112,1;;483,1;;;873,82;6666,27;;;;;;;;;;;;
22.01.1980;1920,72;111,51;;488,7;;;884,91;6684,59;;;;;;;;;;;;
23.01.1980;1934,08;113,44;;490,8;;;878,56;6694,19;;;;;;;;;;;;
24.01.1980;1952,58;113,7;;496,5;;;901,27;6746,93;;;;;;;;;;;;
25.01.1980;1955,11;113,61;;494,3;;;920,01;6767,71;;;;;;;;;;;;
28.01.1980;1972,69;114,85;;492,6;;;926,08;6763,61;;;;;;;;;;;;
29.01.1980;1988,65;114,07;;494,5;;;936,83;6770,83;;;;;;;;;;;;
30.01.1980;2025,6;115,2;;497,1;;;913,59;6776,6;;;;;;;;;;;;
31.01.1980;2027,7;114,16;;504;;;907,5;6768,16;;;;;;;;;;;;
01.02.1980;2032,61;115,12;;509,1;;;893,77;6777,64;;;;;;;;;;;;
04.02.1980;2039,82;114,37;;513,5;;;920,61;6794,21;;;;;;;;;;;;
05.02.1980;2018,68;114,66;;513,4;;;927,4;6765,12;;;;;;;;;;;;
06.02.1980;2022,87;115,72;;509,6;;;914,95;6800,33;;;;;;;;;;;;
07.02.1980;2052,88;116,28;;515,3;;;911,35;6795,62;;;;;;;;;;;;
08.02.1980;2101,13;117,95;;517,8;;;907,78;6816,03;;;;;;;;;;;;
11.02.1980;2118,59;117,12;;516,3;;;909,67;6816,03;;;;;;;;;;;;
12.02.1980;2117,1;117,9;;510,3;;;934,03;6828,05;;;;;;;;;;;;
13.02.1980;2107,74;118,44;;521,3;;;937,24;6835,99;;;;;;;;;;;;
14.02.1980;2044,98;116,72;;525,8;;;961,21;6839,86;;;;;;;;;;;;
15.02.1980;2044,91;115,41;;523,9;;;963,17;6827,71;;;;;;;;;;;;
18.02.1980;2068,52;115,41;;520,1;;;963,17;6756,6;;;;;;;;;;;;
19.02.1980;2093,42;114,6;;525,3;;;963,17;6763,09;;;;;;;;;;;;
20.02.1980;2125,41;116,47;;523,8;;;949,89;6806,01;;;;;;;;;;;;
21.02.1980;2144,52;115,28;;528,9;;;943,44;6776,51;;;;;;;;;;;;
22.02.1980;2140;115,04;;531,9;;;929,55;6783,22;;;;;;;;;;;;
25.02.1980;2118,95;113,33;;535,2;;;902,2;6751,29;;;;;;;;;;;;
26.02.1980;2145,99;113,98;;528,8;;;894,99;6739,43;;;;;;;;;;;;
27.02.1980;2165,89;112,38;;528,7;;;876,15;6777,34;;;;;;;;;;;;
28.02.1980;2177,61;112,35;;520,3;;;918,74;6743,99;;;;;;;;;;;;
29.02.1980;2192,58;113,66;;521,5;;;914,91;6764,89;;;;;;;;;;;;
03.03.1980;2182,47;112,5;;518,7;;;891,62;6793,56;;;;;;;;;;;;
04.03.1980;2164,88;112,78;;513,3;;;878,97;6778,27;;;;;;;;;;;;
05.03.1980;2165,88;111,13;;516,3;;;857,51;6794,04;;;;;;;;;;;;
06.03.1980;2096,52;108,65;;511,3;;;865,28;6736,09;;;;;;;;;;;;
07.03.1980;2045,71;106,9;;503,6;;;833,69;6625,18;;;;;;;;;;;;
10.03.1980;1974,59;106,51;;503,4;;;816,6;6507,16;;;;;;;;;;;;
11.03.1980;2005,14;107,78;;500,2;;;832,86;6535,67;;;;;;;;;;;;
12.03.1980;1996,33;106,87;;504,7;;;835,63;6609,46;;;;;;;;;;;;
13.03.1980;1996,79;105,62;;505,2;;;800,96;6604,39;;;;;;;;;;;;
14.03.1980;1947,33;105,43;;504,4;;;767,43;6593,4;;;;;;;;;;;;
17.03.1980;1864,77;102,26;;499,3;;;783,3;6562,66;;;;;;;;;;;;
18.03.1980;1884,75;104,1;;488,7;;;747,76;6578,21;;;;;;;;;;;;
19.03.1980;1924,03;104,31;;491;;;738,92;6584,76;;;;;;;;;;;;
20.03.1980;1906,48;103,12;;492,2;;;766,49;6584,76;;;;;;;;;;;;
21.03.1980;1888,1;102,31;;487,6;;;764,68;6571,77;;;;;;;;;;;;
24.03.1980;1830,8;99,28;;485,8;;;765,33;6567,25;;;;;;;;;;;;
25.03.1980;1819,82;99,19;;479,3;;;758,13;6531,26;;;;;;;;;;;;
26.03.1980;1798,16;98,68;;481;;;762,96;6535,88;;;;;;;;;;;;
27.03.1980;1702,51;98,22;;476,6;;;766,23;6481,02;;;;;;;;;;;;
28.03.1980;1789,2;100,68;;473,9;;;783,22;6475,93;;;;;;;;;;;;
31.03.1980;1797,58;102,09;;475,2;;;783,22;6556,19;;;;;;;;;;;;
01.04.1980;1807,78;102,18;;478,1;;;784,95;6502,8;;;;;;;;;;;;
02.04.1980;1807,24;102,68;;482,4;;;791,93;6562,99;;;;;;;;;;;;
03.04.1980;1793,51;102,15;;484,3;;;786,98;6614,2;;;;;;;;;;;;
04.04.1980;1793,51;102,15;;484,3;;;786,98;6688,64;;;;;;;;;;;;
07.04.1980;1784,95;100,19;;484,3;;;786,98;6737,06;;;;;;;;;;;;
08.04.1980;1815,58;101,2;;482,7;;;773,83;6682,54;;;;;;;;;;;;
09.04.1980;1858,06;103,11;;480,3;;;775,19;6708,24;;;;;;;;;;;;
10.04.1980;1877,91;104,08;;485,2;;;785,04;6730,51;;;;;;;;;;;;
11.04.1980;1871,47;103,79;;488,6;;;800,2;6751,96;;;;;;;;;;;;
14.04.1980;1865,86;102,84;;487,5;;;806,81;6808,17;;;;;;;;;;;;
15.04.1980;1851,18;102,63;;485,2;;;791,7;6805,78;;;;;;;;;;;;
16.04.1980;1818,59;101,54;;489,9;;;798,27;6770,37;;;;;;;;;;;;
17.04.1980;1801,7;101,05;;499,1;;;814,71;6798,78;;;;;;;;;;;;
18.04.1980;1807,04;100,55;;498,8;;;822,86;6811,39;;;;;;;;;;;;
21.04.1980;1784,48;99,8;;501,8;;;822,86;6810,67;;;;;;;;;;;;
22.04.1980;1818,31;103,43;;497,6;;;840,12;6799,01;;;;;;;;;;;;
23.04.1980;1830,74;103,73;;500,6;;;844,88;6843,85;;;;;;;;;;;;
24.04.1980;1843,79;104,4;;501,4;;;866,37;6830,31;;;;;;;;;;;;
25.04.1980;1848,41;105,16;;497;;;854,19;6904,81;;;;;;;;;;;;
28.04.1980;1850,3;105,64;;498,8;;;863,15;6875,66;;;;;;;;;;;;
29.04.1980;1866,07;105,86;;495,6;;;875,85;6875,66;;;;;;;;;;;;
30.04.1980;1869,93;106,29;;496,1;;;867,9;6865,56;;;;;;;;;;;;
