Dates;Canada;USA;France;Germany;UK;Australia;Hong Kong;Japan;Belgium;Switzerland;Poland;Russia;South Africa;China;India;South Korea;Greece;Brazil;Hungary;Czech Republic
01.01.1980;;7,42;;;;;;;;;;;;;;;;;;
02.01.1980;;7,2701;;;;;;;;;;;;;;;;;;
03.01.1980;;7,233;;;;;;;;;;;;;;;;;;
04.01.1980;;7,3224;;;;;;;;;;;;;;;;;;
07.01.1980;;7,3423;;;;;;;;;;;;;;;;;;
08.01.1980;;7,4894;;;;;;;;;;;;;;;;;;
09.01.1980;;7,4963;;;;;;;;;;;;;;;;;;
10.01.1980;;7,554;;;;;;;;;;;;;;;;;;
11.01.1980;;7,5561;;;;;;;;;;;;;;;;;;
14.01.1980;;7,5877;;;;;;;;;;;;;;;;;;
15.01.1980;;7,64;;;;;;;;;;;;;;;;;;
16.01.1980;;7,6338;;;;;;;;;;;;;;;;;;
17.01.1980;;7,6097;;;;;;;;;;;;;;;;;;
18.01.1980;;7,6352;;;;;;;;;;;;;;;;;;
21.01.1980;;7,706;;;;;;;;;;;;;;;;;;
22.01.1980;;7,6654;;;;;;;;;;;;;;;;;;
23.01.1980;;7,7981;;;;;;;;;;;;;;;;;;
24.01.1980;;7,816;;;;;;;;;;;;;;;;;;
25.01.1980;;7,8098;;;;;;;;;;;;;;;;;;
28.01.1980;;7,895;;;;;;;;;;;;;;;;;;
29.01.1980;;7,8414;;;;;;;;;;;;;;;;;;
30.01.1980;;7,9191;;;;;;;;;;;;;;;;;;
31.01.1980;;7,66;;;;;;;;;;;;;;;;;;
01.02.1980;;7,7244;;;;;;;;;;;;;;;;;;
04.02.1980;;7,6741;;;;;;;;;;;;;;;;;;
05.02.1980;;7,6936;;;;;;;;;;;;;;;;;;
06.02.1980;;7,7647;;;;;;;;;;;;;;;;;;
07.02.1980;;7,8023;;;;;;;;;;;;;;;;;;
08.02.1980;;7,9143;;;;;;;;;;;;;;;;;;
11.02.1980;;7,8586;;;;;;;;;;;;;;;;;;
12.02.1980;;7,911;;;;;;;;;;;;;;;;;;
13.02.1980;;7,9472;;;;;;;;;;;;;;;;;;
14.02.1980;;7,8318;;;;;;;;;;;;;;;;;;
15.02.1980;;7,7439;;;;;;;;;;;;;;;;;;
18.02.1980;;7,7439;;;;;;;;;;;;;;;;;;
19.02.1980;;7,6895;;;;;;;;;;;;;;;;;;
20.02.1980;;7,815;;;;;;;;;;;;;;;;;;
21.02.1980;;7,7352;;;;;;;;;;;;;;;;;;
22.02.1980;;7,719;;;;;;;;;;;;;;;;;;
25.02.1980;;7,6043;;;;;;;;;;;;;;;;;;
26.02.1980;;7,6479;;;;;;;;;;;;;;;;;;
27.02.1980;;7,5406;;;;;;;;;;;;;;;;;;
28.02.1980;;7,5386;;;;;;;;;;;;;;;;;;
29.02.1980;;7,91;;;;;;;;;;;;;;;;;;
03.03.1980;;7,8293;;;;;;;;;;;;;;;;;;
04.03.1980;;7,8488;;;;;;;;;;;;;;;;;;
05.03.1980;;7,7339;;;;;;;;;;;;;;;;;;
06.03.1980;;7,5613;;;;;;;;;;;;;;;;;;
07.03.1980;;7,4395;;;;;;;;;;;;;;;;;;
10.03.1980;;7,4124;;;;;;;;;;;;;;;;;;
11.03.1980;;7,5008;;;;;;;;;;;;;;;;;;
12.03.1980;;7,4375;;;;;;;;;;;;;;;;;;
13.03.1980;;7,3505;;;;;;;;;;;;;;;;;;
14.03.1980;;7,3372;;;;;;;;;;;;;;;;;;
17.03.1980;;7,1166;;;;;;;;;;;;;;;;;;
18.03.1980;;7,2447;;;;;;;;;;;;;;;;;;
19.03.1980;;7,2593;;;;;;;;;;;;;;;;;;
20.03.1980;;7,1765;;;;;;;;;;;;;;;;;;
21.03.1980;;7,1201;;;;;;;;;;;;;;;;;;
24.03.1980;;6,9092;;;;;;;;;;;;;;;;;;
25.03.1980;;6,903;;;;;;;;;;;;;;;;;;
26.03.1980;;6,8675;;;;;;;;;;;;;;;;;;
27.03.1980;;6,8355;;;;;;;;;;;;;;;;;;
28.03.1980;;7,0067;;;;;;;;;;;;;;;;;;
31.03.1980;;7,15;;;;;;;;;;;;;;;;;;
01.04.1980;;7,1563;;;;;;;;;;;;;;;;;;
02.04.1980;;7,1913;;;;;;;;;;;;;;;;;;
03.04.1980;;7,1542;;;;;;;;;;;;;;;;;;
04.04.1980;;7,1542;;;;;;;;;;;;;;;;;;
07.04.1980;;7,0169;;;;;;;;;;;;;;;;;;
08.04.1980;;7,0877;;;;;;;;;;;;;;;;;;
09.04.1980;;7,2214;;;;;;;;;;;;;;;;;;
10.04.1980;;7,2894;;;;;;;;;;;;;;;;;;
11.04.1980;;7,2691;;;;;;;;;;;;;;;;;;
14.04.1980;;7,2025;;;;;;;;;;;;;;;;;;
15.04.1980;;7,1878;;;;;;;;;;;;;;;;;;
16.04.1980;;7,1115;;;;;;;;;;;;;;;;;;
17.04.1980;;7,0772;;;;;;;;;;;;;;;;;;
18.04.1980;;7,0421;;;;;;;;;;;;;;;;;;
21.04.1980;;6,9896;;;;;;;;;;;;;;;;;;
22.04.1980;;7,2438;;;;;;;;;;;;;;;;;;
23.04.1980;;7,2649;;;;;;;;;;;;;;;;;;
24.04.1980;;7,3118;;;;;;;;;;;;;;;;;;
25.04.1980;;7,365;;;;;;;;;;;;;;;;;;
28.04.1980;;7,3986;;;;;;;;;;;;;;;;;;
29.04.1980;;7,414;;;;;;;;;;;;;;;;;;
30.04.1980;;6,96;;;;;;;;;;;;;;;;;;
01.05.1980;;6,9057;;;;;;;;;;;;;;;;;;
02.05.1980;;6,9135;;;;;;;;;;;;;;;;;;
05.05.1980;;6,9659;;;;;;;;;;;;;;;;;;
06.05.1980;;6,9574;;;;;;;;;;;;;;;;;;
07.05.1980;;7,0183;;;;;;;;;;;;;;;;;;
08.05.1980;;6,9495;;;;;;;;;;;;;;;;;;
09.05.1980;;6,8572;;;;;;;;;;;;;;;;;;
12.05.1980;;6,8611;;;;;;;;;;;;;;;;;;
13.05.1980;;6,9607;;;;;;;;;;;;;;;;;;
14.05.1980;;6,9967;;;;;;;;;;;;;;;;;;
15.05.1980;;7,0058;;;;;;;;;;;;;;;;;;
16.05.1980;;7,0294;;;;;;;;;;;;;;;;;;
19.05.1980;;7,0504;;;;;;;;;;;;;;;;;;
20.05.1980;;7,0471;;;;;;;;;;;;;;;;;;
21.05.1980;;7,0536;;;;;;;;;;;;;;;;;;
22.05.1980;;7,1381;;;;;;;;;;;;;;;;;;
23.05.1980;;7,2435;;;;;;;;;;;;;;;;;;
26.05.1980;;7,2435;;;;;;;;;;;;;;;;;;
27.05.1980;;7,2946;;;;;;;;;;;;;;;;;;
28.05.1980;;7,3378;;;;;;;;;;;;;;;;;;
29.05.1980;;7,2206;;;;;;;;;;;;;;;;;;
30.05.1980;;7,3;;;;;;;;;;;;;;;;;;
02.06.1980;;7,2685;;;;;;;;;;;;;;;;;;
03.06.1980;;7,2521;;;;;;;;;;;;;;;;;;
04.06.1980;;7,3899;;;;;;;;;;;;;;;;;;
05.06.1980;;7,4011;;;;;;;;;;;;;;;;;;
06.06.1980;;7,4286;;;;;;;;;;;;;;;;;;
09.06.1980;;7,4621;;;;;;;;;;;;;;;;;;
10.06.1980;;7,5244;;;;;;;;;;;;;;;;;;
11.06.1980;;7,6137;;;;;;;;;;;;;;;;;;
12.06.1980;;7,5809;;;;;;;;;;;;;;;;;;
13.06.1980;;7,5999;;;;;;;;;;;;;;;;;;
16.06.1980;;7,6183;;;;;;;;;;;;;;;;;;
17.06.1980;;7,6143;;;;;;;;;;;;;;;;;;
18.06.1980;;7,6294;;;;;;;;;;;;;;;;;;
19.06.1980;;7,5244;;;;;;;;;;;;;;;;;;
20.06.1980;;7,4851;;;;;;;;;;;;;;;;;;
23.06.1980;;7,5146;;;;;;;;;;;;;;;;;;
24.06.1980;;7,5559;;;;;;;;;;;;;;;;;;
25.06.1980;;7,6596;;;;;;;;;;;;;;;;;;
26.06.1980;;7,6248;;;;;;;;;;;;;;;;;;
27.06.1980;;7,6124;;;;;;;;;;;;;;;;;;
30.06.1980;;7,53;;;;;;;;;;;;;;;;;;
01.07.1980;;7,5755;;;;;;;;;;;;;;;;;;
02.07.1980;;7,6249;;;;;;;;;;;;;;;;;;
