Dates;Canada;USA;France;Germany;UK;Australia;Hong Kong;Japan;Belgium;Switzerland;Poland;Russia;South Africa;China;India;South Korea;Greece;Brazil;Hungary;Czech Republic
01.01.1980;;;;;;;;;;;;;;;;;;;;
02.01.1980;;;;;;;;;;;;;;;;;;;;
03.01.1980;;;;;;;;;;;;;;;;;;;;
04.01.1980;;;;;;;;;;;;;;;;;;;;
07.01.1980;;;;;;;;;;;;;;;;;;;;
08.01.1980;;;;;;;;;;;;;;;;;;;;
09.01.1980;;;;;;;;;;;;;;;;;;;;
10.01.1980;;;;;;;;;;;;;;;;;;;;
11.01.1980;;;;;;;;;;;;;;;;;;;;
14.01.1980;;;;;;;;;;;;;;;;;;;;
15.01.1980;;;;;;;;;;;;;;;;;;;;
16.01.1980;;;;;;;;;;;;;;;;;;;;
17.01.1980;;;;;;;;;;;;;;;;;;;;
18.01.1980;;;;;;;;;;;;;;;;;;;;
21.01.1980;;;;;;;;;;;;;;;;;;;;
22.01.1980;;;;;;;;;;;;;;;;;;;;
23.01.1980;;;;;;;;;;;;;;;;;;;;
24.01.1980;;;;;;;;;;;;;;;;;;;;
25.01.1980;;;;;;;;;;;;;;;;;;;;
28.01.1980;;;;;;;;;;;;;;;;;;;;
29.01.1980;;;;;;;;;;;;;;;;;;;;
30.01.1980;;;;;;;;;;;;;;;;;;;;
31.01.1980;;;;;;;;;;;;;;;;;;;;
01.02.1980;;;;;;;;;;;;;;;;;;;;
04.02.1980;;;;;;;;;;;;;;;;;;;;
05.02.1980;;;;;;;;;;;;;;;;;;;;
06.02.1980;;;;;;;;;;;;;;;;;;;;
07.02.1980;;;;;;;;;;;;;;;;;;;;
08.02.1980;;;;;;;;;;;;;;;;;;;;
11.02.1980;;;;;;;;;;;;;;;;;;;;
12.02.1980;;;;;;;;;;;;;;;;;;;;
13.02.1980;;;;;;;;;;;;;;;;;;;;
14.02.1980;;;;;;;;;;;;;;;;;;;;
15.02.1980;;;;;;;;;;;;;;;;;;;;
18.02.1980;;;;;;;;;;;;;;;;;;;;
19.02.1980;;;;;;;;;;;;;;;;;;;;
20.02.1980;;;;;;;;;;;;;;;;;;;;
21.02.1980;;;;;;;;;;;;;;;;;;;;
22.02.1980;;;;;;;;;;;;;;;;;;;;
25.02.1980;;;;;;;;;;;;;;;;;;;;
26.02.1980;;;;;;;;;;;;;;;;;;;;
27.02.1980;;;;;;;;;;;;;;;;;;;;
28.02.1980;;;;;;;;;;;;;;;;;;;;
29.02.1980;;;;;;;;;;;;;;;;;;;;
03.03.1980;;;;;;;;;;;;;;;;;;;;
04.03.1980;;;;;;;;;;;;;;;;;;;;
05.03.1980;;;;;;;;;;;;;;;;;;;;
06.03.1980;;;;;;;;;;;;;;;;;;;;
07.03.1980;;;;;;;;;;;;;;;;;;;;
10.03.1980;;;;;;;;;;;;;;;;;;;;
11.03.1980;;;;;;;;;;;;;;;;;;;;
12.03.1980;;;;;;;;;;;;;;;;;;;;
13.03.1980;;;;;;;;;;;;;;;;;;;;
14.03.1980;;;;;;;;;;;;;;;;;;;;
17.03.1980;;;;;;;;;;;;;;;;;;;;
18.03.1980;;;;;;;;;;;;;;;;;;;;
19.03.1980;;;;;;;;;;;;;;;;;;;;
20.03.1980;;;;;;;;;;;;;;;;;;;;
21.03.1980;;;;;;;;;;;;;;;;;;;;
24.03.1980;;;;;;;;;;;;;;;;;;;;
25.03.1980;;;;;;;;;;;;;;;;;;;;
26.03.1980;;;;;;;;;;;;;;;;;;;;
27.03.1980;;;;;;;;;;;;;;;;;;;;
28.03.1980;;;;;;;;;;;;;;;;;;;;
31.03.1980;;;;;;;;;;;;;;;;;;;;
01.04.1980;;;;;;;;;;;;;;;;;;;;
02.04.1980;;;;;;;;;;;;;;;;;;;;
03.04.1980;;;;;;;;;;;;;;;;;;;;
04.04.1980;;;;;;;;;;;;;;;;;;;;
07.04.1980;;;;;;;;;;;;;;;;;;;;
08.04.1980;;;;;;;;;;;;;;;;;;;;
09.04.1980;;;;;;;;;;;;;;;;;;;;
10.04.1980;;;;;;;;;;;;;;;;;;;;
11.04.1980;;;;;;;;;;;;;;;;;;;;
