Date;SP_High;SP_Low;SP_Close;RTSI_High;RTSI_Low;RTSI_Close
03.01.2019;2493,14;2443,96;2447,89;1093,22;1063,63;1086,80
04.01.2019;2538,07;2474,33;2531,94;1118,03;1091,81;1118,03
08.01.2019;2566,16;2524,56;2549,69;1127,70;1114,38;1122,90
09.01.2019;2579,82;2547,56;2574,41;1137,15;1124,42;1135,51
10.01.2019;2595,32;2568,89;2584,96;1142,32;1129,15;1142,32
11.01.2019;2597,82;2562,02;2596,64;1153,31;1140,39;1148,75
14.01.2019;2596,27;2577,40;2596,26;1147,46;1132,28;1147,16
15.01.2019;2589,32;2570,41;2582,61;1155,03;1139,16;1148,03
16.01.2019;2613,08;2585,10;2610,30;1155,09;1146,20;1152,99
17.01.2019;2625,76;2612,68;2616,10;1157,89;1148,25;1157,06
18.01.2019;2645,06;2606,36;2635,96;1176,42;1163,38;1176,42
21.01.2019;2675,47;2647,58;2670,71;1178,44;1171,09;1171,09
22.01.2019;2657,88;2617,27;2632,90;1169,79;1161,91;1169,79
23.01.2019;2653,19;2612,86;2638,70;1186,61;1167,86;1186,51
24.01.2019;2647,20;2627,01;2642,33;1191,50;1179,74;1188,15
25.01.2019;2672,38;2657,33;2664,76;1193,29;1181,79;1192,02
28.01.2019;2644,97;2624,06;2643,85;1196,78;1175,12;1178,91
29.01.2019;2650,93;2631,05;2640,00;1192,79;1169,06;1191,38
30.01.2019;2690,44;2648,34;2681,05;1200,09;1187,66;1198,99
31.01.2019;2708,95;2678,65;2704,10;1224,55;1210,89;1214,45
01.02.2019;2716,66;2696,88;2706,53;1218,41;1205,11;1211,23
04.02.2019;2724,88;2698,75;2724,87;1219,09;1209,20;1211,15
05.02.2019;2738,98;2724,03;2737,70;1226,56;1212,33;1223,48
06.02.2019;2738,08;2724,15;2731,61;1225,08;1214,56;1215,83
07.02.2019;2719,32;2687,26;2706,05;1213,51;1197,06;1200,14
08.02.2019;2708,07;2681,83;2707,88;1201,41;1189,57;1199,65
11.02.2019;2718,05;2703,79;2709,80;1209,81;1198,81;1201,33
12.02.2019;2748,19;2722,61;2744,73;1218,83;1202,68;1215,47
13.02.2019;2761,85;2748,63;2753,03;1215,48;1190,60;1190,79
14.02.2019;2757,90;2731,23;2745,73;1174,19;1151,95;1156,31
15.02.2019;2775,66;2760,24;2775,60;1178,00;1166,63;1177,50
18.02.2019;2787,33;2767,29;2779,76;1186,66;1167,54;1177,04
19.02.2019;2789,88;2774,06;2784,70;1180,01;1164,89;1173,64
20.02.2019;2781,58;2764,55;2774,88;1194,85;1179,61;1194,40
21.02.2019;2794,19;2779,11;2792,67;1199,71;1184,50;1188,60
22.02.2019;2813,49;2794,99;2796,11;1198,40;1186,14;1198,40
25.02.2019;2803,12;2789,47;2793,90;1210,88;1195,12;1201,57
26.02.2019;2795,76;2775,13;2792,38;1195,78;1186,28;1193,07
27.02.2019;2793,73;2782,51;2784,49;1199,77;1183,38;1191,01
28.02.2019;2808,02;2787,38;2803,69;1192,34;1181,14;1188,28
01.03.2019;2816,88;2767,66;2792,81;1194,47;1184,46;1187,35
04.03.2019;2796,44;2782,97;2789,65;1190,28;1182,72;1185,83
05.03.2019;2790,27;2768,69;2771,45;1185,65;1177,37;1180,15
06.03.2019;2767,25;2739,09;2748,93;1193,91;1183,55;1191,51
07.03.2019;2744,13;2722,27;2743,07;1190,94;1177,53;1179,58
11.03.2019;2784,00;2747,61;2783,30;1179,62;1173,05;1176,71
12.03.2019;2798,32;2786,73;2791,52;1188,37;1178,78;1183,34
13.03.2019;2821,13;2799,78;2810,92;1189,14;1177,84;1189,14
14.03.2019;2815,00;2803,46;2808,48;1193,21;1179,67;1181,96
15.03.2019;2830,73;2810,79;2822,48;1196,75;1183,46;1196,75
18.03.2019;2835,41;2821,99;2832,94;1218,35;1201,77;1213,35
19.03.2019;2852,42;2823,27;2832,57;1223,33;1214,40;1219,78
20.03.2019;2843,54;2812,54;2824,23;1227,33;1216,71;1226,26
21.03.2019;2860,31;2817,38;2854,88;1243,70;1234,02;1237,68
22.03.2019;2846,16;2800,47;2800,71;1240,14;1209,14;1213,40
25.03.2019;2809,79;2785,02;2798,36;1229,93;1205,19;1228,34
26.03.2019;2829,87;2803,99;2818,46;1236,19;1223,80;1229,96
27.03.2019;2825,56;2787,72;2805,37;1229,43;1207,23;1207,23
28.03.2019;2819,71;2798,77;2815,44;1212,64;1203,38;1207,31
29.03.2019;2836,03;2819,23;2834,40;1220,22;1194,92;1198,11
01.04.2019;2869,40;2848,63;2867,19;1217,68;1200,04;1214,29
02.04.2019;2872,90;2858,75;2867,24;1222,34;1211,02;1216,20
03.04.2019;2885,18;2865,17;2873,40;1232,64;1221,04;1224,35
04.04.2019;2881,28;2867,14;2879,39;1224,00;1214,70;1219,94
05.04.2019;2893,24;2882,99;2892,74;1229,31;1219,60;1225,84
08.04.2019;2895,95;2880,78;2895,77;1240,16;1225,74;1240,16
09.04.2019;2886,88;2873,33;2878,20;1252,88;1242,97;1248,38
10.04.2019;2889,71;2879,13;2888,21;1263,61;1245,10;1262,48
11.04.2019;2893,42;2881,99;2888,32;1266,08;1245,17;1245,17
12.04.2019;2910,54;2898,37;2907,41;1260,49;1243,60;1253,44
15.04.2019;2909,60;2896,58;2905,58;1260,46;1242,77;1246,99
16.04.2019;2916,06;2900,71;2907,06;1258,53;1244,73;1255,45
17.04.2019;2918,00;2895,45;2900,45;1269,86;1259,75;1265,51
18.04.2019;2908,40;2891,90;2905,03;1266,48;1254,28;1262,28
19.04.2019;2909,51;2896,35;2907,97;1265,60;1259,28;1260,82
22.04.2019;2936,31;2908,53;2933,68;1276,98;1266,22;1275,59
