;0
Canada;0,39354664269812356
USA;0,6051717370005629
France;0,19292570881072618
Germany;0,36137278482474783
UK;0,34895382780164796
Australia;0,3210843908943639
Hong Kong;0,3764328164455935
Japan;0,06382522947720556
Belgium;0,25925303695519997
Switzerland;0,35503330709558106
Poland;0,15833649288818874
Russia;0,38362763417395096
South Africa;0,5375870123566475
China;0,3670633426758441
India;0,4040495634646765
South Korea;0,12136401333465525
Greece;0,2513009647617276
Brazil;1,1183891624189575
Hungary;0,46851213678002795
Czech Republic;-0,006301369875826162
