;EMAshort;EMAlong;AD;KAMA;MACD;TRIX
Canada;15,0;40,0;85,0;100,0;30,0;100,0
USA;15,0;40,0;15,0;90,0;30,0;40,0
France;20,0;140,0;85,0;100,0;30,0;40,0
Germany;10,0;160,0;85,0;90,0;30,0;30,0
UK;20,0;120,0;85,0;50,0;30,0;50,0
Australia;20,0;80,0;75,0;70,0;30,0;70,0
Hong Kong;10,0;80,0;85,0;70,0;30,0;40,0
Japan;10,0;60,0;15,0;70,0;30,0;60,0
Belgium;20,0;160,0;45,0;90,0;30,0;70,0
Switzerland;5,0;120,0;45,0;50,0;30,0;100,0
Poland;5,0;40,0;75,0;30,0;30,0;80,0
Russia;20,0;40,0;45,0;50,0;30,0;20,0
South Africa;20,0;160,0;5,0;100,0;30,0;30,0
China;10,0;60,0;5,0;30,0;30,0;70,0
India;10,0;60,0;35,0;30,0;30,0;20,0
South Korea;20,0;140,0;35,0;100,0;30,0;80,0
Greece;5,0;40,0;5,0;100,0;30,0;30,0
Brazil;10,0;100,0;55,0;100,0;30,0;20,0
Hungary;20,0;160,0;35,0;100,0;30,0;60,0
Czech Republic;5,0;100,0;5,0;70,0;30,0;70,0
